   19.00   -90.00    90.00   -49.87  15000.0
 -180.00   -34.81   166.80   -33.37  -163.19
 -179.00   -31.46   158.50   -36.05  -127.67
 -178.00   -28.97   160.02   -39.41   -67.10
 -177.00   -27.62   171.83   -37.78   -12.91
 -176.00   -27.65  -170.59   -35.76    29.49
 -175.00   -27.35  -144.67   -35.25    64.50
 -174.00   -28.07  -113.06   -33.32    88.11
 -173.00   -27.91   -87.19   -31.80   110.41
 -172.00   -29.29   -65.00   -31.03   124.43
 -171.00   -32.02   -48.57   -29.72   137.14
 -170.00   -37.96   -15.43   -28.51   149.10
 -169.00   -40.24    74.47   -27.90   167.98
 -168.00   -33.18   107.27   -26.81  -167.92
 -167.00   -30.95   122.68   -26.52  -143.17
 -166.00   -29.36   139.09   -26.08  -119.69
 -165.00   -27.65   159.61   -26.64   -94.02
 -164.00   -25.79  -171.19   -27.53   -61.93
 -163.00   -24.06  -145.12   -28.64   -29.22
 -162.00   -22.42  -119.38   -29.23     3.05
 -161.00   -22.06   -96.73   -30.02    32.41
 -160.00   -23.34   -67.48   -30.55    63.45
 -159.00   -25.92   -25.69   -29.59    90.01
 -158.00   -26.59    31.03   -27.55   111.74
 -157.00   -26.05    80.36   -26.08   129.68
 -156.00   -24.91   126.16   -24.88   146.26
 -155.00   -24.88   162.08   -24.00   166.33
 -154.00   -24.96  -162.10   -23.68  -174.20
 -153.00   -25.13  -128.26   -23.57  -153.79
 -152.00   -27.41  -102.41   -23.99  -130.81
 -151.00   -31.84   -80.04   -25.02  -111.84
 -150.00   -48.74  -119.78   -26.26   -96.11
 -149.00   -36.14   154.19   -28.32   -84.77
 -148.00   -31.91   175.64   -30.22   -73.85
 -147.00   -32.03  -151.07   -30.95   -62.13
 -146.00   -32.06  -100.77   -30.29   -43.13
 -145.00   -30.69   -57.38   -31.52   -13.94
 -144.00   -29.52   -24.32   -32.55    38.28
 -143.00   -30.04     8.89   -30.62    97.61
 -142.00   -33.23    50.54   -27.76   142.71
 -141.00   -35.00   104.67   -26.66   174.81
 -140.00   -32.87   164.93   -26.42  -153.58
 -139.00   -30.68  -152.04   -27.76  -113.60
 -138.00   -28.97  -124.22   -28.30   -63.59
 -137.00   -28.96   -94.51   -27.62   -11.74
 -136.00   -32.46   -53.44   -26.93    32.75
 -135.00   -37.58    32.07   -27.52    81.17
 -134.00   -33.18   105.77   -28.10   123.45
 -133.00   -30.26   152.31   -29.98   165.78
 -132.00   -28.69  -174.01   -31.77  -145.74
 -131.00   -29.16  -128.36   -33.30   -98.35
 -130.00   -30.06   -73.34   -33.84   -42.05
 -129.00   -31.39   -18.90   -32.19     6.72
 -128.00   -34.14    52.56   -31.10    48.90
 -127.00   -28.80   129.24   -28.41    78.62
 -126.00   -24.45   166.68   -26.95   103.66
 -125.00   -23.05  -161.52   -25.69   127.01
 -124.00   -24.33  -127.25   -25.21   158.05
